,City Name,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
0,butaritari,24,99,3.07,85.45,12.03
1,tommot,64,78,58.97,-2.3,2.3
2,rikitea,76,96,-23.12,80.46,15.55
3,albany,90,92,42.65,37.4,3.36
4,dobrljin,56,100,45.15,30.2,3.36
5,bredasdorp,92,77,-34.53,69.8,8.05
6,port alfred,100,98,-33.59,70.29,5.88
7,constitucion,75,48,23.99,71.6,3.2
8,punta arenas,0,57,-53.16,51.8,17.22
9,coquimbo,0,77,-29.95,62.6,7.34
10,sarkand,92,87,45.41,28.35,3.47
11,iqaluit,5,66,63.75,-29.21,2.24
12,doka,0,51,13.52,70.15,11.36
13,provideniya,40,71,64.42,3.2,29.08
14,hilo,40,58,19.71,78.98,6.93
15,bitung,20,74,1.44,84.2,2.24
16,mataura,56,42,-46.19,72.4,14.16
17,hobart,0,56,-42.88,64.4,20.8
18,san quintin,0,75,17.54,67.09,4.88
19,alugan,92,95,12.22,78.79,16.06
20,teya,75,73,21.05,77.0,11.41
21,arraial do cabo,0,73,-22.97,77.0,16.11
22,costinesti,0,85,43.95,10.4,8.05
23,saint-philippe,90,91,45.36,31.84,8.05
24,fairhope,40,100,30.52,62.4,4.99
25,sabha,24,74,27.03,32.22,2.86
26,denpasar,20,79,-8.65,84.2,5.82
27,chuy,0,80,-33.69,74.43,15.28
28,ushuaia,40,57,-54.81,48.2,16.11
29,atuona,68,100,-9.8,81.0,14.94
30,thinadhoo,88,100,0.53,82.71,14.83
31,busselton,0,99,-33.64,67.95,17.11
32,new norfolk,0,60,-42.78,64.4,20.8
33,sulangan,8,96,11.14,81.04,17.67
34,ome,20,41,35.8,41.65,16.11
35,samarai,0,97,-10.62,84.82,14.27
36,birao,0,47,10.3,65.92,10.02
37,gilbues,36,43,-9.83,79.83,5.26
38,bethel,90,84,60.79,2.46,8.05
39,abha,0,40,18.22,51.8,1.97
40,kholodnyy,56,64,62.72,-24.4,2.24
41,hualmay,36,79,-11.1,70.74,3.58
42,viedma,92,29,-40.81,71.82,21.54
43,mahebourg,40,78,-20.41,78.8,13.87
44,tasiilaq,92,95,65.61,32.0,33.33
45,havre-saint-pierre,75,78,50.23,12.2,11.41
46,vaini,0,76,15.34,55.4,2.24
47,sabla,0,31,12.75,60.93,9.62
48,kapaa,40,64,22.08,77.88,6.93
49,castro,75,66,-42.48,50.0,3.36
50,jamestown,0,83,-33.21,63.9,9.35
51,ilulissat,88,77,69.22,6.8,20.8
52,kahului,40,51,20.89,77.94,17.22
53,bluff,76,88,-23.58,78.07,12.93
54,henties bay,8,100,-22.12,60.12,5.26
55,georgetown,40,83,6.8,77.67,6.93
56,brae,24,64,60.4,39.2,14.99
57,puerto ayora,20,65,-0.74,80.6,16.11
58,ponta do sol,32,97,-20.63,64.44,5.26
59,komsomolskiy,48,61,67.55,-7.57,6.71
60,longyearbyen,75,73,78.22,23.0,18.34
61,kapuskasing,90,92,49.42,30.2,3.36
62,loandjili,20,88,-4.77,80.6,5.82
63,shingu,40,60,33.72,42.8,20.8
64,road town,40,69,18.42,77.0,14.99
65,kupang,40,70,-10.16,87.8,5.82
66,namatanai,80,99,-3.66,83.79,8.5
67,chivay,0,39,-15.64,42.79,5.37
68,itupiranga,0,94,-5.13,77.0,3.36
69,cape town,20,82,-33.93,66.2,16.11
70,acapulco,75,78,16.86,80.6,2.24
71,bonthe,76,69,7.53,80.32,1.74
72,lazaro cardenas,75,47,28.39,57.2,5.32
73,jaranwala,0,89,31.33,45.04,2.86
74,scunthorpe,20,86,53.59,38.8,13.87
75,avarua,20,58,-21.21,82.4,10.29
76,mogadishu,92,99,2.04,79.83,21.81
77,tomatlan,76,77,19.93,77.85,2.98
78,cherskiy,0,33,68.75,-22.28,1.86
79,kaitangata,80,66,-46.28,67.05,2.35
80,madaoua,44,34,14.07,61.24,10.8
81,rawson,88,20,-43.3,66.24,15.84
82,barrow,36,47,-38.31,72.22,4.59
83,camabatela,88,98,-8.19,64.89,3.09
84,vardo,90,86,39.62,47.07,9.17
85,narsaq,92,95,60.91,26.5,1.68
86,kryry,90,95,50.01,34.83,11.41
87,qaqortoq,92,100,60.72,29.7,25.17
88,matara,88,97,-13.74,45.94,1.74
89,turbat,0,86,26.0,51.97,2.68
90,kodiak,1,27,39.95,40.35,14.99
91,lokosovo,80,80,61.13,8.37,7.61
92,shimoda,75,45,34.7,44.38,25.28
93,tiksi,8,70,71.64,-36.5,3.2
94,aklavik,20,65,68.22,-29.4,5.1
95,severo-kurilsk,48,100,50.68,25.42,15.32
96,hasaki,20,44,35.73,39.88,10.29
97,leh,64,66,34.16,-14.95,1.79
98,molln,75,93,47.89,35.6,27.51
99,nishihara,20,41,35.74,41.61,16.11
100,guymon,1,53,36.68,38.1,3.36
101,salalah,75,57,17.01,77.0,10.29
102,langsa,56,91,4.47,69.57,2.24
103,fortuna,0,43,38.18,48.18,10.29
104,okhotsk,80,100,59.36,-6.53,8.5
105,saint-augustin,90,93,44.83,46.4,3.36
106,puerto del rosario,48,77,28.5,57.97,6.93
107,ixtapa,40,88,20.71,77.0,8.05
108,alcudia,0,87,39.85,50.0,2.24
109,east london,68,100,-33.02,72.63,2.24
110,hermanus,92,99,-34.42,61.65,4.32
111,manokwari,48,100,-0.87,80.01,4.36
112,nizhnevartovsk,90,84,60.93,5.0,8.95
113,leningradskiy,0,97,69.38,-8.02,20.92
114,tuktoyaktuk,40,73,69.44,-32.81,3.36
115,north bend,90,71,43.41,57.92,8.05
116,madingou,88,95,-4.17,73.3,2.19
117,port lincoln,0,88,-34.72,64.62,10.02
118,gizo,75,81,31.8,50.0,8.05
119,muros,0,93,42.77,41.09,3.36
120,saint george,40,73,39.45,20.82,10.29
121,kensington,90,85,46.44,23.0,6.93
122,saskylakh,0,0,71.97,-40.46,9.01
123,howard springs,75,74,-12.5,87.8,10.29
124,launceston,40,61,-41.43,64.4,14.99
125,anchorage,75,79,61.22,6.73,4.09
126,alofi,75,79,-19.06,86.0,6.93
127,yulara,0,22,-25.24,86.0,16.11
128,geraldton,90,79,49.72,19.4,10.29
129,wamba,20,92,2.14,64.84,2.08
130,magdalena,0,79,-13.26,78.25,8.5
131,illintsi,56,92,49.11,10.26,7.05
132,solnechnyy,36,78,50.72,-4.51,4.76
133,chokurdakh,0,48,70.62,-29.35,3.2
134,dergachi,44,77,51.24,-0.41,3.36
135,vallenar,0,63,-28.58,62.46,2.19
136,strezhevoy,90,84,60.73,5.0,8.95
137,pevek,0,67,69.7,-14.68,4.99
138,agadez,88,40,16.97,54.4,10.02
139,naze,12,82,5.43,68.0,6.55
140,khatanga,64,74,71.98,-17.06,1.74
141,nanortalik,92,99,60.14,30.82,24.34
142,sao filipe,0,96,14.9,73.57,11.63
143,upernavik,68,100,72.79,-2.75,9.57
144,santa marta,20,61,11.24,82.4,11.41
145,carnarvon,0,38,-30.97,66.64,8.72
146,vila franca do campo,20,72,37.72,60.8,17.22
147,veraval,90,92,49.65,42.21,6.93
148,jasper,24,87,33.83,57.2,6.04
149,kovur,0,86,14.5,56.52,3.09
150,termoli,0,100,42.0,39.82,5.1
151,atambua,80,100,-9.11,77.67,1.07
152,bilibino,0,54,68.06,-11.48,5.37
153,stryn,88,91,61.9,27.67,2.19
154,tupik,24,63,54.43,-15.85,2.57
155,yellowknife,75,75,62.45,-16.61,5.82
156,grindavik,90,100,63.84,46.4,20.8
157,paamiut,80,100,61.99,27.54,29.75
158,portland,90,60,45.52,46.72,12.75
159,lucapa,76,97,-8.42,66.96,2.01
160,surt,8,100,31.21,49.05,8.61
161,sao mateus do sul,64,89,-25.87,69.93,4.81
162,codrington,92,57,-28.95,81.19,2.24
163,rocha,64,75,-34.48,75.24,10.36
164,glenwood springs,1,73,39.55,23.0,6.93
165,ostrovnoy,76,92,68.05,13.23,13.76
166,thompson,90,70,55.74,-0.41,11.41
167,victoria,75,83,5.28,84.2,4.21
168,port hardy,90,86,50.7,37.4,36.91
169,linqu,36,67,36.52,10.8,2.68
170,puerto penasco,0,83,31.32,64.57,4.47
171,biak,0,92,-0.91,81.54,4.36
172,ocos,40,83,14.51,80.38,9.8
173,hithadhoo,92,100,-0.6,80.1,13.27
174,dhar,0,87,22.6,46.4,7.0
175,touros,20,83,-5.2,80.6,8.05
176,kruisfontein,92,97,-34.0,63.45,4.88
177,potsdam,75,93,52.4,35.6,10.29
178,dikson,36,100,73.51,-10.76,10.92
179,vestmannaeyjar,92,96,63.44,44.59,15.55
180,celestun,12,94,20.87,76.27,18.07
181,neyyattinkara,20,83,8.4,73.4,3.36
182,quatre cocos,40,78,-20.21,78.8,13.87
183,kiama,75,73,-34.67,75.2,14.99
184,horsham,0,68,-36.71,65.16,10.4
185,madras,90,100,44.63,30.16,4.7
186,mantua,75,93,45.16,34.39,5.82
187,mount gambier,90,48,-37.83,62.6,9.17
188,kavaratti,0,100,10.57,81.36,9.51
189,port elizabeth,20,99,39.31,43.14,6.93
190,westport,92,100,53.8,44.1,2.35
191,languyan,75,75,48.3,45.68,9.17
192,cheremukhovo,88,83,56.23,14.76,7.49
193,marsa matruh,75,81,31.35,46.4,9.17
194,qaanaaq,8,82,77.48,-14.0,9.84
195,airai,24,90,-8.93,75.24,2.01
196,iquitos,75,88,-3.75,77.0,2.24
197,san isidro,92,93,16.74,69.97,3.31
198,faanui,68,100,-16.48,83.34,6.82
199,guangyuan,92,98,32.43,31.27,2.35
200,aquiraz,40,83,-3.9,80.6,4.7
201,mumford,12,91,5.26,78.21,5.77
202,rincon,40,72,32.3,61.43,8.05
203,sibolga,68,98,1.74,69.21,1.79
204,nikolskoye,90,100,59.7,24.8,4.47
205,nantucket,90,100,41.28,45.52,4.7
206,zhigansk,0,0,66.77,-39.97,2.35
207,bowen,90,88,-20.01,78.8,13.87
208,isangel,36,100,-19.55,78.3,16.67
209,sharlyk,48,79,52.93,-1.27,5.77
210,sinnamary,20,96,5.38,78.52,9.06
211,lavrentiya,0,87,65.58,2.47,29.59
212,wanaka,76,28,-44.7,67.59,5.88
213,avera,1,67,33.19,62.17,5.82
214,cabo san lucas,5,73,22.89,71.6,4.7
215,concordia,20,82,-31.4,77.58,7.56
216,karratha,68,45,-20.74,87.48,4.59
217,clyde river,90,76,70.47,-5.81,12.75
218,ribeira grande,20,95,38.52,63.72,26.84
219,onokhoy,8,68,51.92,-20.21,2.24
220,kuloy,88,92,61.03,22.99,8.05
221,luwuk,0,92,-0.95,81.54,4.36
222,fairbanks,75,80,64.84,-12.88,3.2
223,tateyama,75,74,36.66,33.8,5.82
224,lagoa,0,76,37.14,48.2,5.82
225,santo domingo,20,83,18.48,75.2,5.82
226,narasannapeta,0,94,18.42,54.04,3.02
227,manoel urbano,92,100,-8.84,71.73,2.68
228,rapid valley,1,57,44.06,25.63,13.87
229,hamilton,40,62,32.3,59.0,5.82
230,saldanha,0,77,41.42,22.9,2.8
231,yangambi,32,100,0.77,69.75,2.08
232,ozernovskiy,76,89,51.5,24.07,15.66
233,ballina,56,100,54.11,40.68,3.2
234,esso,36,52,55.93,-7.21,2.24
235,aksay,40,92,47.27,21.2,15.66
236,lodingen,36,100,68.41,32.0,12.75
237,hastings,0,96,-39.64,71.19,14.61
238,coihaique,40,93,-45.58,39.2,8.05
239,darnah,92,100,32.77,58.05,18.63
240,bose,0,92,45.46,18.09,3.36
241,hun,92,86,50.34,38.14,12.75
242,tarata,90,73,-17.47,69.8,8.05
243,berdigestyakh,36,42,62.1,-27.46,3.24
244,jhang,0,93,33.67,39.2,5.55
245,lebu,0,42,8.96,46.4,2.24
246,pangnirtung,12,47,66.15,-29.21,4.09
247,padang,40,94,-0.92,77.0,3.36
248,margate,0,80,-43.03,64.4,20.8
249,sola,90,92,62.78,23.0,2.24
250,lompoc,1,76,34.64,59.47,11.41
251,parauna,64,94,-3.82,72.09,1.97
252,seoul,1,44,37.57,16.11,1.12
253,marawi,0,70,8.0,71.73,3.36
254,hovd,75,74,63.83,35.6,16.11
255,tara,75,60,33.0,41.58,2.24
256,esperance,20,83,10.24,77.0,4.7
257,svetlogorsk,90,62,53.14,19.4,8.95
258,idritsa,76,83,56.33,14.4,14.38
259,pizarro,92,100,4.95,76.95,2.57
260,loanda,48,76,-22.93,80.05,6.11
261,goksun,64,91,38.02,26.37,2.01
262,ancud,75,66,-41.87,50.0,3.36
263,praya,20,79,-8.71,84.2,4.7
264,poykovskiy,90,92,61.23,6.8,6.71
265,cedar city,1,81,37.68,37.04,3.36
266,galveston,40,64,40.58,38.82,20.8
267,cherdyn,64,74,60.4,15.34,7.56
268,rio gallegos,75,81,-51.62,48.2,15.61
269,ahipara,12,62,-35.17,78.25,0.51
270,itacoatiara,48,92,-3.14,77.49,1.79
271,sayyan,12,63,15.17,32.31,1.57
272,eureka,75,100,40.8,59.31,24.16
273,kimbe,76,100,-5.56,78.12,2.08
274,sao joao da barra,0,96,-21.64,79.47,25.57
275,mocorito,56,64,25.48,77.35,4.54
276,praia,0,69,-20.25,73.4,5.82
277,nyurba,68,81,63.29,-2.21,4.32
278,boende,36,94,-0.28,71.64,2.75
279,khonsa,0,94,26.99,45.63,1.19
280,kuminskiy,88,84,58.67,12.51,6.71
281,kencong,44,88,-7.78,74.79,3.76
282,guhagar,0,99,17.48,69.25,5.1
283,yankton,1,60,42.87,33.08,12.75
284,raudeberg,48,74,61.99,37.4,6.93
285,douglas,1,54,31.34,55.04,4.25
286,tuatapere,100,72,-46.13,63.54,16.62
287,lata,0,87,30.78,29.92,2.08
288,biscarrosse,90,100,44.41,46.4,9.17
289,dongsheng,92,99,29.72,36.27,9.91
290,zhangye,64,78,38.94,2.47,4.21
291,harnai,0,67,30.1,34.74,2.46
292,west wendover,1,69,40.74,33.98,4.7
293,talnakh,48,82,69.49,-9.28,2.98
294,iracoubo,20,75,5.48,77.04,5.55
295,hatta,0,87,24.13,47.07,2.98
296,yarkovo,0,67,54.81,21.2,8.95
297,mamallapuram,20,100,12.63,66.2,2.24
298,kim,1,43,32.73,66.38,10.29
299,yola,0,77,9.26,57.19,1.45
300,verkhoyansk,24,0,67.55,-52.43,2.75
301,kavieng,88,100,-2.57,84.55,8.72
302,mehamn,0,77,71.03,16.02,5.7
303,rapid city,1,57,44.08,25.63,13.87
304,san patricio,44,93,-26.98,79.02,5.88
305,tarnos,90,100,43.54,48.78,14.99
306,lorengau,88,97,-2.02,84.15,11.14
307,arawa,8,65,7.05,67.41,2.35
308,nokaneng,20,75,-19.66,72.81,5.77
309,kabinda,68,95,-6.14,67.59,2.98
310,goderich,92,100,43.74,36.18,21.14
311,hobyo,48,86,5.35,76.27,16.67
312,kieta,0,95,-6.22,84.42,3.2
313,ewa beach,90,61,21.32,78.55,5.82
314,kanye,36,80,-24.98,67.09,6.04
315,kologriv,92,89,58.83,19.44,4.36
316,san rafael,24,12,-34.61,77.44,17.18
317,alamo,90,85,37.85,57.24,3.36
318,babu,92,100,23.23,47.61,3.31
319,luocheng,92,95,28.29,40.99,6.49
320,nizhniy lomov,56,78,53.53,4.5,4.88
321,camocim,92,98,-2.9,74.88,4.32
322,akhmim,0,57,26.56,48.2,9.17
323,sao raimundo das mangabeiras,24,78,-7.02,76.54,5.99
324,dingle,20,75,11.0,78.34,14.76
325,male,76,84,50.74,10.75,6.22
326,klaksvik,24,74,62.23,33.8,1.12
327,pisco,90,83,-13.71,73.4,17.22
328,kodinsk,12,76,58.6,2.07,4.47
329,pueblo,1,34,38.25,33.08,10.29
330,berlevag,24,100,70.86,19.53,7.38
331,mandurah,0,53,-32.55,73.4,9.17
332,paramonga,56,99,-10.68,72.27,7.83
333,corinto,0,54,-18.36,75.82,8.72
334,bambanglipuro,20,93,-7.95,75.37,2.98
335,gewane,0,76,10.16,49.59,2.68
336,uyuni,0,26,-20.46,49.0,4.21
337,puerto escondido,75,74,15.86,80.6,5.37
338,chingola,88,99,-12.55,65.29,6.33
339,polovinnoye,48,79,54.79,1.53,10.4
340,bambous virieux,40,78,-20.34,78.8,11.41
341,trenggalek,8,95,-8.05,73.39,3.31
342,torbay,90,85,47.66,19.4,21.92
343,kirakira,8,99,-10.46,84.55,13.09
344,san angelo,1,43,31.46,55.04,11.41
345,rio grande,88,88,-32.03,77.13,17.85
346,manono,64,97,-7.3,69.03,4.59
347,roald,88,93,62.58,34.34,12.75
348,gold coast,92,65,-28.0,80.6,8.05
349,prince rupert,20,100,54.32,32.0,3.36
350,oranjestad,20,78,12.52,78.8,14.99
351,santiago del estero,20,69,-27.8,85.09,8.05
352,aripuana,36,94,-9.17,75.82,1.68
353,turtas,68,81,58.94,9.9,6.26
354,horizontina,76,91,-27.63,76.72,6.82
355,mar del plata,76,40,-46.43,59.13,12.3
356,charters towers,80,85,-20.07,75.15,16.84
357,ust-kulom,0,78,61.69,4.41,3.98
358,winslow,75,88,51.94,36.23,13.87
359,afua,8,88,5.27,74.25,7.56
360,daru,76,59,7.99,72.54,2.57
361,gat,0,60,14.69,70.77,16.11
362,canton,90,65,40.8,43.61,28.86
363,urengoy,64,76,65.96,-17.51,3.53
364,nagornskiy,76,89,58.77,18.81,12.41
365,jalu,0,81,29.03,37.12,2.57
366,vao,88,92,59.1,25.74,6.71
367,nabire,88,96,-3.36,70.83,2.19
368,dasoguz,90,80,41.84,33.8,2.24
369,ulaangom,8,44,49.98,-31.87,1.52
370,lasa,75,66,34.92,44.04,19.46
371,lembeni,48,68,-3.78,68.85,3.53
372,miraflores,92,100,5.2,53.37,1.68
373,trudobelikovskiy,92,96,45.27,28.12,7.11
374,sorong,64,100,-0.86,81.0,9.35
375,nemuro,20,53,43.32,24.8,9.17
376,rovaniemi,20,84,66.5,5.0,10.29
377,rafsanjan,8,61,30.4,38.88,5.59
378,vanderhoof,44,80,54.02,11.65,2.35
379,forbes,0,71,-33.38,78.66,4.21
380,botesti,75,85,46.8,15.8,11.41
381,gilgit,48,87,35.92,8.73,0.29
382,dubai,0,64,25.27,63.63,5.82
383,port-gentil,64,100,-0.72,77.8,3.24
384,kedrovyy,20,84,56.17,5.0,2.24
385,purgstall,92,94,48.06,32.67,17.56
386,praia da vitoria,20,82,38.73,59.0,23.04
387,bubaque,8,98,11.28,79.15,3.47
388,tsaratanana,92,100,-16.8,72.4,2.57
389,wanlaweyn,68,67,2.62,77.94,9.62
390,denizli,40,92,37.77,14.0,9.17
391,porto novo,0,78,-23.68,73.4,1.12
392,kununurra,8,59,-15.77,89.6,5.82
393,adrar,0,33,27.87,44.6,10.29
394,guadalupe y calvo,64,42,26.09,63.63,1.97
395,ipixuna,75,94,-1.76,75.2,5.82
396,souillac,0,93,45.6,38.98,5.82
397,aden,80,100,12.79,75.42,11.41
398,kibaha,40,83,-6.79,82.4,13.87
399,bismarck,1,58,46.81,17.31,14.99
400,kaeo,44,50,-35.1,81.09,5.32
401,cervo,8,86,-22.19,66.82,2.8
402,ikalamavony,88,93,-21.17,62.55,2.24
403,banavar,0,84,13.41,49.5,5.26
404,mehriz,40,33,31.58,44.6,2.24
405,east stroudsburg,90,86,41.0,36.91,5.82
406,atikokan,68,64,48.76,16.2,11.86
407,ladario,0,73,40.7,24.52,3.02
408,nikolayevsk-na-amure,32,78,53.14,-4.28,10.85
409,manggar,24,100,-2.88,77.62,2.86
410,deputatskiy,44,66,69.3,-36.55,2.53
411,paralimni,24,100,40.99,5.31,2.68
412,san felipe,0,60,-32.75,57.96,1.97
413,evensk,64,100,61.92,14.22,22.88
414,cidreira,100,97,-30.17,73.62,11.25
415,jiwani,0,93,25.05,62.77,4.36
416,vilyuysk,48,73,63.75,-16.93,6.82
417,srednekolymsk,24,65,67.46,-22.42,3.02
418,puerto colombia,20,83,10.99,78.8,18.34
419,petropavlovsk-kamchatskiy,0,57,53.05,23.0,8.95
420,takoradi,0,100,4.89,80.73,7.27
421,omboue,92,100,-1.57,79.65,3.69
422,blagoyevo,76,73,63.37,5.76,4.25
423,vila velha,40,83,-3.71,80.6,4.7
424,zlobin,75,93,45.29,41.0,3.09
425,maniitsoq,0,100,65.42,16.74,17.56
426,fukue,20,56,35.03,40.8,26.4
427,mersing,56,90,2.43,80.19,9.51
428,lethem,0,49,3.38,84.55,15.05
429,laguna,90,63,27.52,66.2,4.7
430,alice springs,0,21,-23.7,89.6,19.46
431,doha,0,93,25.29,65.43,3.36
432,otkaznoye,90,100,44.32,24.8,13.42
433,puerto quijarro,24,72,-19.0,80.73,6.82
434,vengerovo,80,81,55.68,8.01,8.28
435,totness,1,75,33.74,63.37,10.29
436,san andres,100,100,13.32,77.49,14.65
437,rivera,80,83,-30.9,76.86,8.28
438,ati,12,26,13.21,66.06,11.3
439,tabas,64,58,33.6,33.66,2.35
440,nelson bay,0,38,-32.72,91.4,14.99
441,soyo,68,93,-6.13,76.77,3.36
442,birzai,92,90,56.2,22.54,11.74
443,kachiry,68,85,53.07,7.11,9.35
444,placido de castro,48,97,-10.34,72.22,1.97
445,port-cartier,90,85,50.03,23.0,23.04
446,paita,76,68,-5.09,78.79,7.61
447,burnie,12,100,-41.05,58.99,14.65
448,puerto leguizamo,68,49,-0.19,88.29,2.75
449,kutahya,20,85,39.42,15.8,4.7
450,itoman,75,59,26.12,62.67,12.75
451,beringovskiy,92,89,63.05,23.58,38.03
452,yumen,48,68,40.29,3.64,6.26
453,mirnyy,88,84,56.57,13.99,10.8
454,bandarbeyla,92,100,9.49,76.59,15.84
455,buraydah,0,76,26.33,55.4,11.41
456,talakan,44,67,50.29,-9.68,4.76
457,vostok,12,64,46.45,-4.87,4.59
458,nago,75,93,45.88,34.36,5.82
459,ridgecrest,90,50,35.62,55.04,3.36
460,husavik,88,85,50.56,12.15,19.42
461,binga,64,91,-17.62,76.14,3.24
462,wajima,75,68,37.4,30.2,2.24
463,san carlos de bariloche,75,81,-41.13,42.8,17.22
464,abu samrah,76,92,35.3,40.77,17.9
465,sikonge,75,88,-5.63,69.8,2.8
466,scarborough,76,86,54.28,39.2,5.82
467,prescott valley,1,42,34.61,52.32,5.82
468,yerbogachen,64,61,61.28,6.66,10.25
469,itaituba,76,92,-4.26,76.95,1.23
470,kalianget,36,100,-7.74,76.41,4.25
471,bontang,36,95,0.12,82.57,9.62
472,allapalli,0,88,19.43,48.64,2.8
473,troitsko-pechorsk,44,66,62.71,2.34,4.99
474,saint anthony,1,73,43.97,18.43,3.36
475,sergeyevka,76,78,53.88,4.41,11.3
476,walvis bay,0,82,-22.95,59.0,9.51
477,tandil,0,58,-37.33,72.81,4.76
478,hlobyne,88,100,49.39,18.67,3.31
479,siyabuswa,0,91,-25.11,60.39,3.76
480,balagansk,48,55,54.01,-6.22,2.53
481,cockburn town,48,99,21.46,78.79,14.94
482,tura,8,81,25.52,46.75,2.86
483,bertinoro,24,86,44.15,32.74,1.12
484,itarema,76,93,-2.92,76.09,7.34
485,huarmey,44,79,-10.07,68.94,3.47
486,sterling,20,73,39.0,52.18,12.75
487,langres,0,80,47.87,39.2,12.75
488,asyut,0,81,27.18,44.6,14.99
489,bartica,40,88,6.41,75.2,4.7
490,meiganga,0,53,6.52,60.7,3.58
491,sitka,0,32,37.17,43.87,5.77
492,flin flon,75,70,54.77,1.4,10.29
493,savannah bight,40,83,16.45,77.0,7.61
494,san vicente,40,78,13.64,75.2,2.24
495,hami,44,56,42.84,1.71,2.3
496,luganville,0,100,-15.51,81.67,7.78
497,zhanaozen,8,83,43.35,18.72,8.9
498,sungairaya,8,98,0.7,75.82,3.53
499,fonte boa,88,83,-2.51,80.28,6.11
500,kathmandu,75,86,27.71,41.0,3.47
501,xining,0,47,36.62,-8.6,2.53
502,beyneu,20,78,45.32,4.99,2.98
503,sabang,92,100,13.72,76.0,15.61
504,san cristobal,75,76,-0.39,57.2,5.82
505,tet,12,72,31.25,45.85,16.11
506,burns lake,56,75,54.23,13.14,2.3
507,khasan,0,92,42.43,15.52,10.85
508,puerto ayacucho,0,62,5.66,84.2,4.7
509,santa luzia,0,69,-19.77,74.32,5.82
510,kiunga,0,85,-6.12,83.16,2.19
511,kempsey,92,84,-31.08,78.7,6.49
512,katsuura,75,56,33.93,41.61,23.04
513,bedesa,0,70,8.9,38.47,1.52
514,fershampenuaz,36,77,53.52,-1.4,10.02
515,klobuck,90,98,50.9,33.8,11.41
516,yinchuan,0,60,38.48,-1.27,4.03
517,masterton,8,66,-40.95,77.58,7.56
518,oriximina,48,98,-1.77,74.52,3.2
519,kautokeino,76,85,69.01,19.39,4.81
520,bahia blanca,88,46,-38.72,77.89,14.27
521,tabou,80,98,4.42,83.29,8.57
522,panjab,0,51,34.38,-10.76,2.01
523,panzhihua,92,99,26.59,43.11,2.53
524,quelimane,40,94,-17.88,78.8,2.24
525,college,75,79,64.86,-17.25,3.2
526,winnemucca,75,67,40.97,42.08,10.29
527,salina cruz,8,52,16.18,79.92,15.66
528,port hedland,0,29,-20.31,98.6,5.82
529,hay river,75,76,60.82,-9.41,6.93
530,tocopilla,0,93,-22.09,63.94,5.03
531,half moon bay,75,72,37.46,59.52,10.29
532,swellendam,92,82,-34.02,68.0,6.93
533,guiratinga,44,76,-16.35,77.13,1.52
534,candido mendes,80,100,-1.45,79.11,9.57
